Abbrev,Rxn_Name,Equation,Subsystem,Gene(s),References
DCTPD,dCTP deaminase,[c] : dctp + h + h2o --> dutp + nh4,Nucleotide Salvage Pathway,PAS_chr1-1_0163,
DCYTD,deoxycytidine deaminase,[c] : dcyt + h + h2o --> duri + nh4,Nucleotide Salvage Pathway,PAS_chr3_0726,
DCYTt2,deoxycytidine transport in via proton symport,dcyt[e] + h[e] --> dcyt[c] + h[c],"Transport, Extracellular",NA,
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,[c] : e4p + h2o + pep --> 2dda7p + pi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","PAS_chr1-4_0218, PAS_chr3_0936",
DESAT16,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),[c] : h + nadph + o2 + pmtcoa --> (2) h2o + hdcoa + nadp,Fatty Acid  Biosynthesis,PAS_chr2-1_0072,
DESAT18,stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA),[c] : h + nadph + o2 + stcoa --> (2) h2o + nadp + odecoa,Fatty Acid  Biosynthesis,PAS_chr2-1_0072,
DGK1,deoxyguanylate kinase (dGMP:ATP),[c] : atp + dgmp <==> adp + dgdp,Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0219,
DGSNt2,deoxyguanosine transport in via proton symport,dgsn[e] + h[e] --> dgsn[c] + h[c],"Transport, Extracellular",NA,
DHAD1m,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate), mitochondrial",[m] : 23dhmb --> 3mob + h2o,"Valine, Leucine, and Isoleucine Metabolism",PAS_chr1-4_0458,
DHAD2m,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate), mitochondrial",[m] : 23dhmp --> 3mop + h2o,"Valine, Leucine, and Isoleucine Metabolism",PAS_chr1-4_0458,
DHAPtm,"dihydroxyacetone phosphate transport, mitochondrial",dhap[m] --> dhap[c],"Transport, Mitochondrial",NA,
DHAtx,Dihydroxyacetone peroxisomal transport,dha[x] <==> dha[c],"Transport, Peroxisomal",NA,
DHFRi,dihydrofolate reductase (irreversible),[c] : dhf + h + nadph --> nadp + thf,Folate Metabolism,PAS_chr1-4_0697,
DHFRim,"dihydrofolate reductase, mitochondrial",[m] : dhf + h + nadph --> nadp + thf,Folate Metabolism,PAS_chr1-4_0697,
DHFS,dihydrofolate synthase,[c] : atp + dhpt + glu-L --> adp + dhf + h + pi,Folate Metabolism,NA,
DHNPAm,dihydroneopterin aldolase,[m] : dhnpt --> 2ahhmp + gcald + h,Folate Metabolism,PAS_chr2-2_0302,
DHNPTtm,dhnpt mitochondrial transport,dhnpt[c] <==> dhnpt[m],"Transport, Mitochondrial",NA,
DHORD4i,"dihydoorotic acid (ubiquinone-6), irreversible",dhor-S[c] + q6[m] --> orot[c] + q6h2[m],Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0021,
DHORDfum,Fumarate dependent DHORD,[c] : dhor-S + fum --> orot + succ,Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0021,
DHORDi,dihydoorotic acid dehydrogenase (irreversible),[c] : dhor-S + o2 --> h2o2 + orot,Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0021,
DHORTS,dihydroorotase,[c] : dhor-S + h2o <==> cbasp + h,Purine and Pyrimidine Biosynthesis,"PAS_chr2-2_0142, PAS_chr2-1_0593",
DHPSm,"dihydropteroate synthase, mitochondrial",[m] : 2ahhmp + 4abz --> dhpt + h2o,Folate Metabolism,PAS_chr2-2_0302,
DHPTtm,Dihydropteroate mitochondrial transport via diffusion,dhpt[c] <==> dhpt[m],"Transport, Mitochondrial",NA,
DHQS,3-dehydroquinate synthase,[c] : 2dda7p --> 3dhq + pi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr3_0506,
DHQTi,"3-dehydroquinate dehydratase, irreversible",[c] : 3dhq --> 3dhsk + h2o,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr3_0506,
DINSt2,deoxyinosine transport in via proton symport,din[e] + h[e] --> din[c] + h[c],"Transport, Extracellular",NA,
DIPS,diphthine synthase,[c] : amet + caphis --> ahcys + cmaphis + h,Methionine Metabolism,PAS_chr2-1_0577,
DKMPPD2,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",[c] : dkmpp + (3) h2o --> 2kmb + for + (6) h + pi,Methionine Metabolism,"PAS_chr2-2_0446, PAS_chr2-1_0422",
D-LACDcm,"D-lactate dehydrogenase, cytosolic/mitochondrial",(2) ficytc[m] + lac-D[c] --> (2) focytc[m] + pyr[c],Alternate Carbon Metabolism,"PAS_chr4_0018, PAS_chr3_1021, PAS_chr3_0674",
D-LACDm,"D-lactate dehydrogenase, mitochondrial",[m] : (2) ficytc + lac-D --> (2) focytc + pyr,Pyruvate Metabolism,"PAS_chr4_0018, PAS_chr3_0674",
D-LACt2,D-lactate transport via proton symport,h[e] + lac-D[e] <==> h[c] + lac-D[c],"Transport, Extracellular",PAS_chr3_0440,
D-LACt2m,"D-lactate/pyruvate antiport, mitochondrial",lac-D[c] + pyr[m] <==> lac-D[m] + pyr[c],"Transport, Mitochondrial",NA,
D-LACtm,"D-lactate transport, mitochondrial",h[c] + lac-D[c] <==> h[m] + lac-D[m],"Transport, Mitochondrial",NA,
DMATT,dimethylallyltranstransferase,[c] : dmpp + ipdp --> grdp + ppi,Sterol Metabolism,PAS_chr1-4_0314,
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,[c] : dhpmp + h2o --> dhnpt + pi,Folate Metabolism,PAS_chr4_0405,
DOLK,Dolichol kinase,[c] : ctp + dolichol --> cdp + dolp + h,Glycoprotein Metabolism,PAS_chr2-1_0498,
DOLPMMer,"Dolichyl-phosphate-mannose--protein mannosyltransferase, endoplasmic reticular",[r] : dolmanp --> dolp + h + mannan,Glycoprotein Metabolism,"PAS_chr2-1_0212, PAS_chr4_0777, PAS_chr2-1_0256",
DOLPMTcer,Dolichyl-phosphate D-mannosyltransferase,dolp[c] + gdpmann[c] --> dolmanp[r] + gdp[c],Glycoprotein Metabolism,PAS_chr1-1_0459,
DPCOAK,dephospho-CoA kinase,[c] : atp + dpcoa --> adp + coa + h,Pantothenate and CoA Biosynthesis,PAS_chr4_0477,
DPGM,Diphosphoglyceromutase,[c] : 13dpg <==> 23dpg + h,Glycolysis/Gluconeogenesis,PAS_chr3_0826,
DPMVD,diphosphomevalonate decarboxylase,[c] : 5dpmev + atp --> adp + co2 + ipdp + pi,Sterol Metabolism,PAS_chr1-4_0003,
DPR,2-dehydropantoate 2-reductase,[c] : 2dhp + h + nadph --> nadp + pant-R,Pantothenate and CoA Biosynthesis,PAS_chr4_0968,
DPRm,"2-dehydropantoate 2-reductase, mitochondrial",[m] : 2dhp + h + nadph --> nadp + pant-R,Pantothenate and CoA Biosynthesis,PAS_chr1-1_0432,
DRBK,Deoxyribokinase,[c] : atp + drib --> 2dr5p + adp + h,Pentose Phosphate Pathway,PAS_chr3_0604,
DROPPRy,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (nadph)",[c] : 25dhpp + h + nadph --> 25dthpp + nadp,Riboflavin Metabolism,PAS_chr3_0156,
DRTPPD,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",[c] : 25dthpp + h + h2o --> 5aprbu + nh4,Riboflavin Metabolism,PAS_chr1-3_0239,
DTMPK,dTMP kinase,[c] : atp + dtmp <==> adp + dtdp,Nucleotide Salvage Pathway,PAS_chr3_0262,
DTTPt,dTTP reversible uniport,dttp[e] <==> dttp[c],"Transport, Extracellular",NA,
DURIK1,deoxyuridine kinase (ATP:Deoxyuridine),[c] : atp + duri --> adp + dump + h,Purine and Pyrimidine Biosynthesis,NA,
DURIPP,deoxyuridine phosphorylase,[c] : duri + pi <==> 2dr1p + ura,Purine and Pyrimidine Biosynthesis,PAS_chr1-1_0132,
DURIt2,deoxyuridine transport in via proton symport,duri[e] + h[e] --> duri[c] + h[c],"Transport, Extracellular",NA,
DUTPDP,dUTP diphosphatase,[c] : dutp + h2o --> dump + h + ppi,Purine and Pyrimidine Biosynthesis,PAS_chr2-1_0478,
DXHPScm,"deoxyhypusine synthase, cytosolic/mitochondrial",h2o[c] + q6[m] + spmd[c] --> 13dampp[c] + 4abutn[c] + q6h2[m],Arginine and Proline Metabolism,PAS_chr1-3_0211,
E4PDH,erythrose-4-phosphate dehydrogenase,[c] : e4p + (2) nad + h2o <==> ohpb + (2) nadh + (3) h,Pyridoxine Metabolism,NA,
ECOAH11p,"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexacosyl-CoA), peroxisomal",[x] : h2o + hxc2coa <==> 3hxccoa,Fatty Acid Degradation,PAS_chr2-1_0776,
ECOAH4p,"3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA), peroxisomal",[x] : 3hdcoa <==> dc2coa + h2o,Fatty Acid Degradation,PAS_chr2-1_0776,
ECOAH5p,"3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA), peroxisomal",[x] : 3hddcoa <==> dd2coa + h2o,Fatty Acid Degradation,PAS_chr2-1_0776,
ECOAH6p,"3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA), peroxisomal",[x] : 3htdcoa <==> h2o + td2coa,Fatty Acid Degradation,PAS_chr2-1_0776,
ECOAH7p,"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA), peroxisomal",[x] : 3hhdcoa <==> h2o + hdd2coa,Fatty Acid Degradation,PAS_chr2-1_0776,
ECOAH8p,"3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA), peroxisomal",[x] : 3hodcoa <==> h2o + od2coa,Fatty Acid Degradation,PAS_chr2-1_0776,
EHGLAT,L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase,[c] : akg + e4hglu --> 4h2oglt + glu-L,Arginine and Proline Metabolism,PAS_chr4_0974,
EHGLATm,"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, mitochondrial",[m] : akg + e4hglu --> 4h2oglt + glu-L,Arginine and Proline Metabolism,PAS_chr1-1_0200,
EHGLATp,"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, peroxisomal",[x] : akg + e4hglu --> 4h2oglt + glu-L,Arginine and Proline Metabolism,PAS_chr4_0974,
ENO,enolase,[c] : 2pg <==> h2o + pep,Glycolysis/Gluconeogenesis,PAS_chr3_0082,
EPISTAT_PP,"Acyl-CoA:episterol acyltransferase, yeast-specific",[c] : epist + (0.16654) pmtcoa + (0.05956) hdcoa + (0.03292) stcoa + (0.33054) odecoa + (0.41044) ocdycacoa --> coa + epistest_PP,Sterol Metabolism,PAS_chr3_0467,
EPISTESTH_PP,"episterol ester hydrolase, yeast-specific",[c] : epistest_PP + h2o --> epist + h + (0.16654) hdca + (0.05956) hdcea + (0.03292) ocdca + (0.33054) ocdcea + (0.41044) ocdcya,Sterol Metabolism,"PAS_chr3_0252, PAS_chr2-1_0409",
EPISTESTH_PPe,"episterol ester hydrolase, yeast-specific (extracellular)",[e] : epistest_PP + h2o --> epist + h + (0.16654) hdca + (0.05956) hdcea + (0.03292) ocdca + (0.33054) ocdcea + (0.41044) ocdcya,Sterol Metabolism,PAS_chr2-1_0409,
EPISTt,episterol reversible transport,epist[e] <==> epist[c],"Transport, Extracellular",PAS_chr2-1_0280,
ERGSTAT_PP,"Acyl-CoA:ergosterol acyltransferase, yeast-specific",[c] : ergst + (0.16654) pmtcoa + (0.05956) hdcoa + (0.03292) stcoa + (0.33054) odecoa + (0.41044) ocdycacoa --> coa + ergstest_PP,Sterol Metabolism,PAS_chr3_0467,
ERGSTESTH_PP,"ergosterol ester hydrolase, yeast-specific",[c] : ergstest_PP + h2o --> ergst + h + (0.16654) hdca + (0.05956) hdcea + (0.03292) ocdca + (0.33054) ocdcea + (0.41044) ocdcya,Sterol Metabolism,"PAS_chr3_0252, PAS_chr2-1_0409",
ERGSTESTH_PPe,"ergosterol ester hydrolase, yeast-specific (extracellular)",[e] : ergstest_PP + h2o --> ergst + h + (0.16654) hdca + (0.05956) hdcea + (0.03292) ocdca + (0.33054) ocdcea + (0.41044) ocdcya,Sterol Metabolism,PAS_chr2-1_0409,
ERGSTGLCT,UDP-glucose:ergosterol glucosyltransferase,[c] : ergst + udpg --> ergst3glc + h + udp,Sterol Metabolism,PAS_chr4_0167,
ERGSTt,ergosterol reversible transport,ergst[e] <==> ergst[c],"Transport, Extracellular",PAS_chr2-1_0280,
ERGSTter,ergosterol endoplasmic reticular transport,ergst[r] <==> ergst[c],"Transport, Endoplasmic Reticular",NA,
ERGTETROLter,"Ergosta-5,6,22,24,(28)-tetraen-3beta-ol endoplamic reticular transport",ergtetrol[c] <==> ergtetrol[r],"Transport, Endoplasmic Reticular",NA,
ETHAK,Ethanolamine kinase,[c] : atp + etha --> adp + ethamp + h,Phospholipid Biosynthesis,PAS_chr1-4_0390,
ETHAPT_PP,"Ethanolaminephosphotransferase, yeast-specific",[c] : 12dgr_PP + cdpea <==> cmp + h + pe_PP,Phospholipid Biosynthesis,PAS_chr2-2_0357,
ETHAt,ethanolamine transport via diffusion (extracellular),etha[e] <==> etha[c],"Transport, Extracellular",NA,
ETOHt,ethanol reversible transport,etoh[e] <==> etoh[c],"Transport, Extracellular",NA,
ETOHtm,ethanol transport to mitochondria (diffusion),etoh[c] <==> etoh[m],"Transport, Mitochondrial",NA,
FA120ACPH,fatty-acyl-ACP hydrolase,[c] : ddcaACP + h2o <==> ACP + ddca + h,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
FA120ACPtm,fatty-acyl-ACP mitochondrial transport,ddcaACP[m] --> ddcaACP[c],"Transport, Mitochondrial",NA,
FA140ACPH,fatty-acyl-ACP hydrolase,[c] : h2o + myrsACP <==> ACP + h + ttdca,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
FA140ACPtm,fatty-acyl-ACP mitochondrial transport,myrsACP[m] --> myrsACP[c],"Transport, Mitochondrial",NA,
FA140COAabcp,fatty acid peroxisomal transport via ABC system,atp[x] + h2o[x] + tdcoa[c] --> adp[x] + h[x] + pi[x] + tdcoa[x],"Transport, Peroxisomal","PAS_chr3_0822, PAS_chr2-2_0272",
FA141ACPH,fatty-acyl-ACP hydrolase,[c] : h2o + tdeACP <==> ACP + h + ttdcea,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
FA141COAabcp,fatty acid peroxisomal transport via ABC system,atp[x] + h2o[x] + tdecoa[c] --> adp[x] + h[x] + pi[x] + tdecoa[x],"Transport, Peroxisomal","PAS_chr3_0822, PAS_chr2-2_0272",
FA160ACPH,fatty-acyl-ACP hydrolase,[c] : h2o + palmACP <==> ACP + h + hdca,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
FA160ACPtm,fatty-acyl-ACP mitochondrial transport,palmACP[m] --> palmACP[c],"Transport, Mitochondrial",NA,
FA160COAabcp,fatty acyl-CoA peroxisomal transport via ABC system,atp[x] + h2o[x] + pmtcoa[c] --> adp[x] + h[x] + pi[x] + pmtcoa[x],"Transport, Peroxisomal","PAS_chr3_0822, PAS_chr2-2_0272",
FA161ACPH,fatty-acyl-ACP hydrolase,[c] : h2o + hdeACP <==> ACP + h + hdcea,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
FA161ACPtm,fatty-acyl-ACP mitochondrial transport,hdeACP[m] --> hdeACP[c],"Transport, Mitochondrial",NA,
FA161COAabcp,fatty acyl-CoA peroxisomal transport via ABC system,atp[x] + h2o[x] + hdcoa[c] --> adp[x] + h[x] + hdcoa[x] + pi[x],"Transport, Peroxisomal","PAS_chr3_0822, PAS_chr2-2_0272",
FA180ACPH,fatty-acyl-ACP hydrolase,[c] : h2o + ocdcaACP <==> ACP + h + ocdca,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
FA180ACPtm,fatty-acyl-ACP mitochondrial transport,ocdcaACP[m] --> ocdcaACP[c],"Transport, Mitochondrial",NA,
FA180COAabcp,fatty acyl-CoA transport via ABC system,atp[x] + h2o[x] + stcoa[c] --> adp[x] + h[x] + pi[x] + stcoa[x],"Transport, Peroxisomal","PAS_chr3_0822, PAS_chr2-2_0272",
FA181ACPH,fatty-acyl-ACP hydrolase,[c] : h2o + octeACP <==> ACP + h + ocdcea,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
FA181ACPtm,fatty-acyl-ACP mitochondrial transport,octeACP[m] --> octeACP[c],"Transport, Mitochondrial",NA,
FA181COAabcp,fatty acyl-CoA peroxisomal transport via ABC system,atp[x] + h2o[x] + odecoa[c] --> adp[x] + h[x] + odecoa[x] + pi[x],"Transport, Peroxisomal","PAS_chr3_0822, PAS_chr2-2_0272",
FA182ACPH,fatty-acyl-ACP hydrolase,[c] : h2o + ocdcyaACP <==> ACP + h + ocdcya,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
FA182ACPtm,fatty-acyl-ACP mitochondrial transport,ocdcyaACP[m] --> ocdcyaACP[c],"Transport, Mitochondrial",NA,
FA182COAabcp,fatty acyl-CoA peroxisomal transport via ABC system,atp[x] + h2o[x] + ocdycacoa[c] --> adp[x] + h[x] + ocdycacoa[x] + pi[x],"Transport, Peroxisomal","PAS_chr3_0822, PAS_chr2-2_0272",
FA240tp,fatty acid peroxisomal transport,ttc[c] --> ttc[x],"Transport, Peroxisomal",PAS_chr1-4_0080,
FA260tp,fatty acid peroxisomal transport,hexc[c] --> hexc[x],"Transport, Peroxisomal",PAS_chr1-4_0080,
FACOAL100p,"fatty-acid--CoA ligase (decanoate), peroxisomal",[x] : atp + coa + dca <==> amp + dcacoa + ppi,Fatty Acid  Biosynthesis,PAS_chr4_0352,
FACOAL120p,"fatty-acid--CoA ligase (dodecanoate), peroxisomal",[x] : atp + coa + ddca <==> amp + ddcacoa + ppi,Fatty Acid  Biosynthesis,PAS_chr4_0352,
FACOAL140,fatty-acid--CoA ligase (tetradecanoate),[c] : atp + coa + ttdca <==> amp + ppi + tdcoa,Fatty Acid  Biosynthesis,PAS_chr2-1_0785,
FACOAL140p,"fatty-acid--CoA ligase (tetradecanoate), peroxisomal",[x] : atp + coa + ttdca <==> amp + ppi + tdcoa,Fatty Acid  Biosynthesis,PAS_chr4_0352,
FACOAL141,fatty-acid--CoA ligase (tetradecenoate),[c] : atp + coa + ttdcea <==> amp + ppi + tdecoa,Fatty Acid  Biosynthesis,PAS_chr2-1_0785,
FACOAL141p,"fatty-acid--CoA ligase (tetradecenoate), peroxisomal",[x] : atp + coa + ttdcea <==> amp + ppi + tdecoa,Fatty Acid  Biosynthesis,PAS_chr4_0352,
FACOAL160,fatty-acid--CoA ligase (hexadecanoate),[c] : atp + coa + hdca <==> amp + pmtcoa + ppi,Fatty Acid  Biosynthesis,PAS_chr2-1_0785,
FACOAL160p,"fatty-acid--CoA ligase (hexadecanoate), peroxisomal",[x] : atp + coa + hdca <==> amp + pmtcoa + ppi,Fatty Acid  Biosynthesis,PAS_chr4_0352,
FACOAL161,fatty-acid--CoA ligase (hexadecenoate),[c] : atp + coa + hdcea <==> amp + hdcoa + ppi,Fatty Acid  Biosynthesis,PAS_chr2-1_0785,
FACOAL161p,"fatty-acid--CoA ligase (hexadecenoate), peroxisomal",[x] : atp + coa + hdcea <==> amp + hdcoa + ppi,Fatty Acid  Biosynthesis,PAS_chr4_0352,
FACOAL180,fatty-acid--CoA ligase (octadecanoate),[c] : atp + coa + ocdca <==> amp + ppi + stcoa,Fatty Acid  Biosynthesis,PAS_chr2-1_0785,
FACOAL181,fatty-acid--CoA ligase (octadecenoate),[c] : atp + coa + ocdcea <==> amp + odecoa + ppi,Fatty Acid  Biosynthesis,PAS_chr2-1_0785,
FACOAL182,fatty-acid--CoA ligase (octadecynoate),[c] : atp + coa + ocdcya <==> amp + ocdycacoa + ppi,Fatty Acid  Biosynthesis,PAS_chr2-1_0785,
FACOAL240p,"fatty-acid--CoA ligase (n-C24:0), peroxisomal",[x] : atp + coa + ttc <==> amp + ppi + ttccoa,Fatty Acid  Biosynthesis,PAS_chr1-4_0080,
FACOAL260p,"fatty-acid--CoA ligase (n-C26:0), peroxisomal",[x] : atp + coa + hexc <==> amp + hexccoa + ppi,Fatty Acid  Biosynthesis,PAS_chr1-4_0080,
FACOAL80p,"fatty-acid--CoA ligase (octanoate), peroxisomal",[x] : atp + coa + octa <==> amp + occoa + ppi,Fatty Acid  Biosynthesis,PAS_chr4_0352,
FADFMNtm,FAD/FMN antiport,fad[c] + fmn[m] --> fad[m] + fmn[c],"Transport, Mitochondrial",PAS_chr3_0429,
FALDH,formaldehyde dehydrogenase,[c] : fald + gthrd + nad <==> Sfglutth + h + nadh,Methanol Metabolism,PAS_chr3_1028,"[2], [3]"
FALDtx,formaldehyde peroxisomal transport,fald[x] <==> fald[c],"Transport, Peroxisomal",NA,
FAO141p_even,fatty acid oxidation,[x] : (6) coa + (6) h2o + (6) nad + nadph + (6) o2 + tdecoa --> (7) accoa + (5) h + (6) h2o2 + (6) nadh + nadp,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr3_0975, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO141p_odd,Fatty acid oxidation,[x] : (6) coa + (6) h2o + (6) nad + (5) o2 + tdecoa --> (7) accoa + (6) h + (5) h2o2 + (6) nadh,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO161p_even,Fatty acid oxidation,[x] : (7) coa + (7) h2o + hdcoa + (7) nad + nadph + (7) o2 --> (8) accoa + (6) h + (7) h2o2 + (7) nadh + nadp,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr3_0975, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO161p_odd,Fatty acid oxidation,[x] : (7) coa + (7) h2o + hdcoa + (7) nad + (6) o2 --> (8) accoa + (7) h + (6) h2o2 + (7) nadh,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO181p_even,Fatty acid oxidation,[x] : (8) coa + (8) h2o + (8) nad + nadph + (8) o2 + odecoa --> (9) accoa + (7) h + (8) h2o2 + (8) nadh + nadp,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr3_0975, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO181p_odd,Fatty acid oxidation,[x] : (8) coa + (8) h2o + (8) nad + (7) o2 + odecoa --> (9) accoa + (8) h + (7) h2o2 + (8) nadh,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO182p_even/even,Fatty acid oxidation,[x] : (8) coa + (8) h2o + (8) nad + (2) nadph + (8) o2 + ocdycacoa --> (9) accoa + (6) h + (8) h2o2 + (8) nadh + (2) nadp,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr3_0975, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO182p_even/odd,Fatty acid oxidation,[x] : (8) coa + (8) h2o + (8) nad + nadph + (7) o2 + ocdycacoa --> (9) accoa + (7) h + (7) h2o2 + (8) nadh + nadp,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr3_0975, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO182p_odd/odd,Fatty acid oxidation,[x] : (8) coa + (8) h2o + (8) nad + (6) o2 + ocdycacoa --> (9) accoa + (8) h + (6) h2o2 + (8) nadh,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr1-4_0663, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO240p,"fatty acid oxidation (tetradecansoyl-CoA), peroxisomal",[x] : (3) coa + (3) h2o + (3) nad + (3) o2 + ttccoa --> (3) accoa + (3) h + (3) h2o2 + (3) nadh + stcoa,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAO80p,"fatty acid oxidation (octanoyl-CoA), peroxisomal",[x] : (3) coa + (3) h2o + (3) nad + (3) o2 + occoa --> (4) accoa + (3) h + (3) h2o2 + (3) nadh,Fatty Acid Degradation,"PAS_chr1-4_0538, PAS_chr2-2_0267, PAS_chr2-1_0776",
FAS100,fatty acid synthase (n-C10:0),[c] : (3) h + malcoa + (2) nadph + octa --> co2 + coa + dca + h2o + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS100ACPm,"fatty-acyl-ACP synthase (n-C10:0ACP), mitochondrial",[m] : (3) h + malACP + (2) nadph + ocACP --> ACP + co2 + dcaACP + h2o + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS100COA,fatty acyl-CoA synthase (n-C10:0CoA),[c] : (3) h + malcoa + (2) nadph + occoa --> co2 + coa + dcacoa + h2o + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS120,fatty acid synthase (n-C12:0),[c] : dca + (3) h + malcoa + (2) nadph --> co2 + coa + ddca + h2o + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS120ACPm,"fatty-acyl-ACP synthase (n-C12:0ACP), mitochondrial",[m] : dcaACP + (3) h + malACP + (2) nadph --> ACP + co2 + ddcaACP + h2o + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS120COA,fatty-acyl-CoA synthase (n-C12:0CoA),[c] : dcacoa + (3) h + malcoa + (2) nadph --> co2 + coa + ddcacoa + h2o + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS140,fatty acid synthase (n-C14:0),[c] : ddca + (3) h + malcoa + (2) nadph --> co2 + coa + h2o + (2) nadp + ttdca,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS140ACPm,"fatty-acyl-ACP synthase (n-C14:0ACP), mitochondrial",[m] : ddcaACP + (3) h + malACP + (2) nadph --> ACP + co2 + h2o + myrsACP + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS140COA,fatty-acyl-CoA synthase (n-C14:0CoA),[c] : ddcacoa + (3) h + malcoa + (2) nadph --> co2 + coa + h2o + (2) nadp + tdcoa,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS141,fatty acid synthase (n-C14:1),[c] : ddca + (4) h + malcoa + (3) nadph + o2 --> co2 + coa + (3) h2o + (3) nadp + ttdcea,Fatty Acid  Biosynthesis,PAS_chr3_0602,
